,season_end_year,team,position,played,won,drawn,lost,gd,points
559,2020,Newcastle Utd,13,38,11,11,16,-20,44
560,2020,Crystal Palace,14,38,11,10,17,-19,43
561,2020,Brighton,15,38,9,14,15,-15,41
562,2020,West Ham,16,38,10,9,19,-13,39
563,2020,Aston Villa,17,38,9,8,21,-26,35
564,2020,Bournemouth,18,38,9,7,22,-25,34
565,2020,Watford,19,38,8,10,20,-28,34
566,2020,Norwich,20,38,5,6,27,-49,21
567,2021,Manchester City,1,38,27,5,6,51,86
568,2021,Manchester Utd,2,38,21,11,6,29,74
569,2021,Liverpool,3,38,20,9,9,26,69
570,2021,Chelsea,4,38,19,10,9,22,67
571,2021,Leicester,5,38,20,6,12,18,66
572,2021,West Ham,6,38,19,8,11,15,65
573,2021,Tottenham,7,38,18,8,12,23,62
574,2021,Arsenal,8,38,18,7,13,16,61
575,2021,Leeds United,9,38,18,5,15,8,59
576,2021,Everton,10,38,17,8,13,-1,59
577,2021,Aston Villa,11,38,16,7,15,9,55
578,2021,Newcastle Utd,12,38,12,9,17,-16,45
579,2021,Wolves,13,38,12,9,17,-16,45
580,2021,Crystal Palace,14,38,12,8,18,-25,44
581,2021,Southampton,15,38,12,7,19,-21,43
582,2021,Brighton,16,38,9,14,15,-6,41
583,2021,Burnley,17,38,10,9,19,-22,39
584,2021,Fulham,18,38,5,13,20,-26,28
585,2021,West Brom,19,38,5,11,22,-41,26
586,2021,Sheffield United,20,38,7,2,29,-43,23
587,2022,Manchester City,1,38,29,6,3,73,93
588,2022,Liverpool,2,38,28,8,2,68,92
589,2022,Chelsea,3,38,21,11,6,43,74
590,2022,Tottenham,4,38,22,5,11,29,71
591,2022,Arsenal,5,38,22,3,13,13,69
592,2022,Manchester Utd,6,38,16,10,12,0,58
593,2022,West Ham,7,38,16,8,14,9,56
594,2022,Leicester,8,38,14,10,14,3,52
595,2022,Brighton,9,38,12,15,11,-2,51
596,2022,Wolves,10,38,15,6,17,-5,51
597,2022,Newcastle Utd,11,38,13,10,15,-18,49
598,2022,Crystal Palace,12,38,11,15,12,4,48
599,2022,Brentford,13,38,13,7,18,-8,46
600,2022,Aston Villa,14,38,13,6,19,-2,45
601,2022,Southampton,15,38,9,13,16,-24,40
602,2022,Everton,16,38,11,6,21,-23,39
603,2022,Leeds United,17,38,9,11,18,-37,38
604,2022,Burnley,18,38,7,14,17,-19,35
605,2022,Watford,19,38,6,5,27,-43,23
606,2022,Norwich,20,38,5,7,26,-61,22
607,2023,Manchester City,1,38,28,5,5,61,89
608,2023,Arsenal,2,38,26,6,6,45,84
609,2023,Manchester Utd,3,38,23,6,9,15,75
610,2023,Newcastle Utd,4,38,19,14,5,35,71
611,2023,Liverpool,5,38,19,10,9,28,67
612,2023,Brighton,6,38,18,8,12,19,62
613,2023,Aston Villa,7,38,18,7,13,5,61
614,2023,Tottenham,8,38,18,6,14,7,60
615,2023,Brentford,9,38,15,14,9,12,59
616,2023,Fulham,10,38,15,7,16,2,52
617,2023,Crystal Palace,11,38,11,12,15,-9,45
618,2023,Chelsea,12,38,11,11,16,-9,44
619,2023,Wolves,13,38,11,8,19,-27,41
620,2023,West Ham,14,38,11,7,20,-13,40
621,2023,Bournemouth,15,38,11,6,21,-34,39
622,2023,Nottingham Forest,16,38,9,11,18,-30,38
623,2023,Everton,17,38,8,12,18,-23,36
624,2023,Leicester,18,38,9,7,22,-17,34
625,2023,Leeds United,19,38,7,10,21,-30,31
626,2023,Southampton,20,38,6,7,25,-37,25
627,2024,Manchester City,1,38,28,7,3,62,91
628,2024,Arsenal,2,38,28,5,5,62,89
629,2024,Liverpool,3,38,24,10,4,45,82
630,2024,Aston Villa,4,38,20,8,10,15,68
631,2024,Tottenham,5,38,20,6,12,13,66
632,2024,Chelsea,6,38,18,9,11,14,63
633,2024,Newcastle Utd,7,38,18,6,14,23,60
634,2024,Manchester Utd,8,38,18,6,14,-1,60
635,2024,West Ham,9,38,14,10,14,-14,52
636,2024,Crystal Palace,10,38,13,10,15,-1,49
637,2024,Brighton,11,38,12,12,14,-7,48
638,2024,Bournemouth,12,38,13,9,16,-13,48
639,2024,Fulham,13,38,13,8,17,-6,47
640,2024,Wolves,14,38,13,7,18,-15,46
641,2024,Everton,15,38,13,9,16,-11,40
642,2024,Brentford,16,38,10,9,19,-9,39
643,2024,Nottingham Forest,17,38,9,9,20,-18,32
644,2024,Luton,18,38,6,8,24,-33,26
645,2024,Burnley,19,38,5,9,24,-37,24
646,2024,Sheffield United,20,38,3,7,28,-69,16
647,2025,Liverpool,1,38,25,9,4,45,84
648,2025,Arsenal,2,38,20,14,4,35,74
649,2025,Manchester City,3,38,21,8,9,28,71
650,2025,Chelsea,4,38,20,9,9,21,69
651,2025,Newcastle Utd,5,38,20,6,12,21,66
652,2025,Aston Villa,6,38,19,9,10,7,66
653,2025,Nottingham Forest,7,38,19,8,11,12,65
654,2025,Brighton,8,38,16,13,9,7,61
655,2025,Bournemouth,9,38,15,11,12,12,56
656,2025,Brentford,10,38,16,8,14,9,56
657,2025,Fulham,11,38,15,9,14,0,54
658,2025,Crystal Palace,12,38,13,14,11,0,53
659,2025,Everton,13,38,11,15,12,-2,48
660,2025,West Ham,14,38,11,10,17,-16,43
661,2025,Manchester Utd,15,38,11,9,18,-10,42
662,2025,Wolves,16,38,12,6,20,-15,42
663,2025,Tottenham,17,38,11,5,22,-1,38
664,2025,Leicester,18,38,6,7,25,-47,25
665,2025,Ipswich,19,38,4,10,24,-46,22
666,2025,Southampton,20,38,2,6,30,-60,12
